Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_3yr | 0 | 0 | 0.01 | 0 | 308.598
Rlog_3yr | 1 | 0 | 0.007 | 0 | 308.598
Rlog_3yr | 2 | 0 | 0.007 | 0 | 308.598
Rlog_3yr | 3 | 0 | 0.007 | 0 | 308.598
Rlog_3yr | 4 | 0 | 0.006 | 0 | 308.598
Rlog_3yr | 5 | 0 | 0.006 | 0 | 308.598
Rlog_3yr | 6 | 0 | 0.006 | 0 | 308.855
Rlog_3yr | 7 | 0 | 0.006 | 0 | 308.855
Rlog_3yr | 8 | 0 | 0.006 | 0 | 308.855
Rlog_3yr | 9 | 0 | 0.006 | 0 | 308.855
Rlog_3yr | 10 | 0 | 0.006 | 0 | 308.855
Rlog_3yr | 11 | 0 | 0.006 | 0 | 308.855
Rlog_3yr | 12 | 0 | 0.006 | 0 | 308.855
Rlog_3yr | 13 | 0 | 0.006 | 0 | 308.855
Rlog_3yr | 14 | 0 | 0.006 | 0 | 308.855
Rlog_3yr | 15 | 0 | 0.006 | 0 | 308.855
Rlog_3yr | SUMMARY | 0 | 0 | 3.124 | 312.09
